OBJECTID,Boro,Type,Provider,Name,Location,Lat,Long_,X,Y,Location_T,Remarks,City,SSID
1,SI,Limited Free,TimeWarner,Wolfe's Pond Park,Back of the Comfort Station,40.517299999599999,-74.191000000499997,931144.268929000012577,127800.859933999992791,Outdoor,,Staten Island,GuestWiFi
2,SI,Limited Free,TimeWarner,Wolfe's Pond Park,Southwestern corner of the South Parking Lot,40.516999999600003,-74.190300000199997,931338.659617000026628,127691.139681000000564,Outdoor,,Staten Island,GuestWiFi
3,SI,Limited Free,TimeWarner,Wolfe's Pond Park,Near the Chester Avenue Entrance to the South Parking Lot,40.518200000299998,-74.189800000199995,931478.627513000043109,128128.024961999995867,Outdoor,,Staten Island,GuestWiFi
4,SI,Limited Free,TimeWarner,Wolfe's Pond Park,Beach Side of the South Parking Lot,40.517100000200003,-74.189799999399995,931477.759404000011273,127727.270514000003459,Outdoor,,Staten Island,GuestWiFi
5,SI,Limited Free,TimeWarner,Wolfe's Pond Park,North Parking Lot,40.519200000399998,-74.188200000199998,931924.268354000058025,128491.387424000000465,Outdoor,,Staten Island,GuestWiFi
6,SI,Limited Free,TimeWarner,Blood Root Valley,Front of building,40.591949999599997,-74.139220000099996,945584.414917999994941,154970.486040999996476,Outdoor,,Staten Island,GuestWiFi
7,SI,Limited Free,TimeWarner,Blood Root Valley,Parking Lot behind building closest to soccer field,40.591899999699997,-74.139200000299994,945589.940497000003234,154952.261012000002665,Outdoor,,Staten Island,GuestWiFi
8,SI,Limited Free,TimeWarner,Blood Root Valley,First Floor,40.591899999900001,-74.138500000400001,945784.351525999954902,154951.952940999995917,Outdoor,,Staten Island,GuestWiFi
9,SI,Limited Free,TimeWarner,Blood Root Valley,Second Floor,40.592030000400001,-74.138119999699995,945889.963847000035457,154999.148713000002317,Outdoor,,Staten Island,GuestWiFi
10,SI,Limited Free,TimeWarner,Blood Root Valley,Parking Lot behind building closest to soccer field,40.592000000100001,-74.1380999995,945895.501237999997102,154988.210087000014028,Outdoor,,Staten Island,GuestWiFi
11,SI,Limited Free,TimeWarner,Barrett Park,Near Main Entrance,40.626099999600001,-74.114699999799996,952410.644047999987379,167402.336505000013858,Outdoor,,Staten Island,GuestWiFi
12,SI,Limited Free,TimeWarner,Barrett Park,Benches at Southeast corner in the park,40.624699999599997,-74.114400000499998,952493.254119000048377,166892.170859000005294,Outdoor,,Staten Island,GuestWiFi
13,SI,Limited Free,TimeWarner,Barrett Park,"Southeast Corner of the Park, in front of YMCA",40.624700000300003,-74.114199999899995,952548.773035999969579,166892.098679999995511,Outdoor,,Staten Island,GuestWiFi
14,SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building South Hallway,40.617979999900001,-74.108214999899999,954207.147344000055455,164441.717754000012064,Outdoor,,Staten Island,GuestWiFi
15,SI,Limited Free,TimeWarner,Clove Lakes Park,Near Lakehouse Restaurant,40.618000000199999,-74.1082000002,954211.3205640000524,164448.999236000003293,Outdoor,,Staten Island,GuestWiFi
16,SI,Free,AT&T,Clove Lakes Park,Near Baseball Field,40.618200000000002,-74.107199999399995,954489.031623000046238,164521.523041000007652,Outdoor,,Staten Island,attwifi
17,SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building Main Lobby,40.618977000400001,-74.107169999800007,954497.706474000005983,164804.594325000012759,Outdoor,,Staten Island,GuestWiFi
18,SI,Limited Free,TimeWarner,Clove Lakes Park,Lakehouse Restaurant,40.619399999899997,-74.107099999699997,954517.32815399998799,164958.680303000001004,Outdoor,,Staten Island,GuestWiFi
19,SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building Main Hallway,40.6189999996,-74.106999999600006,954544.911761000053957,164812.915830999991158,Outdoor,,Staten Island,GuestWiFi
20,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.645499999899997,-74.103399999399997,955555.731261000037193,174466.369949000014458,Outdoor,,Staten Island,GuestWiFi
21,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.645400000000002,-74.102900000100007,955694.441941999946721,174429.77389400001266,Outdoor,,Staten Island,GuestWiFi
22,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.645299999599999,-74.102299999400003,955860.904207000043243,174393.146013999998104,Outdoor,,Staten Island,GuestWiFi
23,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.645099999800003,-74.101699999499999,956027.324478000053205,174320.086776999989524,Outdoor,,Staten Island,GuestWiFi
24,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.644900000500002,-74.101099999599995,956193.745732999988832,174247.028851999988547,Outdoor,,Staten Island,GuestWiFi
25,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.644699999700002,-74.100299999599997,956415.670157999964431,174173.907936000003247,Outdoor,,Staten Island,GuestWiFi
26,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Greeley Avenue Baseball Diamond,40.568399999999997,-74.0907999999,959023.206938000046648,146372.982566999999108,Outdoor,,Staten Island,GuestWiFi
27,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Midland Beach Veterans Memorial,40.569400000000002,-74.089500000499996,959384.755426999996416,146736.935250999988057,Outdoor,,Staten Island,GuestWiFi
28,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Midland Avenue Baseball Diamond,40.5702,-74.088499999800007,959662.873966000042856,147028.112489999999525,Outdoor,,Staten Island,GuestWiFi
29,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Mapleton Avenue Baseball Diamond,40.571300000199997,-74.087299999600006,959996.658075000043027,147428.534917000011774,Outdoor,,Staten Island,GuestWiFi
30,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near the Hunter Avenue Parking Lot,40.572299999899997,-74.0860000001,960358.176380999968387,147792.502036999998381,Outdoor,,Staten Island,GuestWiFi
31,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Jefferson Avenue,40.573300000300001,-74.084400000399995,960803.026212999946438,148156.394353999989107,Outdoor,,Staten Island,GuestWiFi
32,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Beach Near the Soccer Field,40.5747,-74.081699999799994,961553.582782999961637,148665.737495000008494,Outdoor,,Staten Island,GuestWiFi
