RK,PLAYER,POS,TEAM,SALARY
1,Shaquille O'Neal,C,Miami Heat,29464000
2,Dikembe Mutombo,C,Houston Rockets,19684000
3,Allan Houston,SG,New York Knicks,17531000
4,Chris Webber,C,Sacramento Kings,17351000
5,Damon Stoudamire,PG,Portland Trail Blazers,15750000
6,Ray Allen,SG,Seattle SuperSonics,14625000
7,Latrell Sprewell,SG,Minnesota Timberwolves,14625000
8,Antoine Walker,PF,Boston Celtics,14625000
9,Stephon Marbury,PG,New York Knicks,14625000
10,Michael Finley,SG,Dallas Mavericks,14609000
11,Tracy McGrady,SG,Houston Rockets,14487000
12,Grant Hill,SF,Orlando Magic,14487000
13,Eddie Jones,SG,Miami Heat,13440000
14,Brian Grant,PF,Los Angeles Lakers,13346000
15,Vince Carter,SG,Toronto Raptors,13281000
16,Tim Thomas,PF,New York Knicks,12900000
17,Antonio Davis,PF,Chicago Bulls,12000000
18,Glenn Robinson,SF,San Antonio Spurs,12000000
19,Nick Van Exel,PG,Portland Trail Blazers,11821000
20,Theo Ratliff,C,Portland Trail Blazers,10937000
21,Kerry Kittles,SG,Los Angeles Clippers,9817000
22,Jamal Mashburn,SF,Philadelphia 76ers,9300000
23,Maurice Taylor,PF,New York Knicks,8450000
24,Derek Anderson,SG,Portland Trail Blazers,8444000
25,Alan Henderson,PF,Dallas Mavericks,8273000
26,Austin Croshere,PF,Indiana Pacers,8260000
27,Erick Dampier,C,Dallas Mavericks,8105000
28,Kelvin Cato,C,Orlando Magic,7992000
29,Marcus Camby,C,Denver Nuggets,7750000
30,Shandon Anderson,SF,New York Knicks,7300000
31,Lorenzen Wright,PF,Memphis Grizzlies,7150000
32,Jerry Stackhouse,SF,Dallas Mavericks,7000000
33,Doug Christie,SG,Sacramento Kings,6875000
34,Peja Stojakovic,SF,Sacramento Kings,6875000
35,Kenyon Martin,PF,Denver Nuggets,6667000
36,Howard Eisley,PG,Utah Jazz,6375000
37,Nazr Mohammed,C,San Antonio Spurs,6270000
38,Vitaly Potapenko,C,Seattle SuperSonics,6191000
39,Christian Laettner,PF,Miami Heat,6078000
40,Stromile Swift,PF,Memphis Grizzlies,6022000
41,Ben Wallace,PF,Detroit Pistons,6000000
42,Danny Fortson,C,Seattle SuperSonics,5922000
43,Calvin Booth,C,Milwaukee Bucks,5900000
44,Joe Smith,PF,Milwaukee Bucks,5899000
45,Clarence Weatherspoon,PF,Houston Rockets,5899000
46,Kurt Thomas,PF,New York Knicks,5885000
47,Jahidi White,C,Charlotte Bobcats,5884000
48,Cuttino Mobley,SG,Sacramento Kings,5883000
49,Scot Pollard,C,Indiana Pacers,5792000
50,Steve Nash,PG,Phoenix Suns,5750000
51,Shawn Bradley,C,Dallas Mavericks,5714000
52,Jerome Williams,PF,New York Knicks,5600000
53,Corliss Williamson,PF,Sacramento Kings,5500000
54,Aaron McKie,SG,Philadelphia 76ers,5500000
55,Darius Miles,SF,Portland Trail Blazers,5419000
56,Kwame Brown,C,Washington Wizards,5361000
57,Bo Outlaw,PF,Phoenix Suns,5355000
58,Marcus Fizer,F,Milwaukee Bucks,4915000
59,Lamond Murray,SF,Toronto Raptors,4875000
60,Eric Snow,PG,Cleveland Cavaliers,4875000
61,Tony Battie,C,Orlando Magic,4800000
62,Michael Stewart,PF,Atlanta Hawks,4800000
63,Mike Miller,SF,Memphis Grizzlies,4482000
64,Pau Gasol,PF,Memphis Grizzlies,4318000
65,Marc Jackson,PF,Philadelphia 76ers,4225000
66,Chucky Atkins,PG,Los Angeles Lakers,4200000
67,DerMarr Johnson,SF,Denver Nuggets,4119000
68,Chris Mihm,C,Los Angeles Lakers,3785000
69,Moochie Norris,PG,New York Knicks,3600000
70,Jamal Crawford,SG,New York Knicks,3475000
71,Joel Przybilla,C,Portland Trail Blazers,3215000
72,Shane Battier,SF,Memphis Grizzlies,3212000
73,Aaron Williams,C,Toronto Raptors,3150000
74,Othella Harrington,PF,Chicago Bulls,3150000
75,Bobby Jackson,PG,Sacramento Kings,3150000
76,Keyon Dooling,PG,Miami Heat,3073000
77,Jerome Moiso,C,Toronto Raptors,3054000
78,Etan Thomas,C,Washington Wizards,3043000
79,Derek Fisher,PG,Golden State Warriors,3000000
80,George Lynch,SF,New Orleans Hornets,3000000
81,Mateen Cleaves,PG,Seattle SuperSonics,2969000
82,Jason Collier,C,Atlanta Hawks,2949000
83,Eddie Griffin,PF,Minnesota Timberwolves,2937000
84,Hedo Turkoglu,SF,Orlando Magic,2803000
85,DeSagana Diop,C,Cleveland Cavaliers,2695000
86,Desmond Mason,SF,Milwaukee Bucks,2680000
87,Quentin Richardson,SF,Phoenix Suns,2562000
88,Rodney White,SF,Golden State Warriors,2481000
89,Jamaal Magloire,C,New Orleans Hornets,2474000
90,Speedy Claxton,PG,Golden State Warriors,2390000
91,Morris Peterson,SG,Toronto Raptors,2371000
92,Donnell Harvey,PF,New Jersey Nets,2363000
93,DeShawn Stevenson,SG,Orlando Magic,2362000
94,Joe Johnson,SF,Phoenix Suns,2358000
95,Kedrick Brown,SG,Philadelphia 76ers,2332000
96,Jake Tsakalidis,C,Memphis Grizzlies,2322000
97,Vladimir Radmanovic,SF,Seattle SuperSonics,2301000
98,Mamadou N'diaye,C,Los Angeles Clippers,2269000
99,Richard Jefferson,SF,New Jersey Nets,2266000
100,Troy Murphy,PF,Golden State Warriors,2232000
101,Mark Madsen,PF,Minnesota Timberwolves,2212000
102,Michael Bradley,PF,Sacramento Kings,1985000
103,Jason Collins,C,New Jersey Nets,1887000
104,Zach Randolph,PF,Portland Trail Blazers,1805000
105,Andrei Kirilenko,SF,Utah Jazz,1672000
106,Samuel Dalembert,C,Philadelphia 76ers,1600000
107,Jamaal Tinsley,PG,Indiana Pacers,1554000
108,Primoz Brezec,C,Charlotte Bobcats,1554000
109,Tony Parker,PG,San Antonio Spurs,1545000
110,Gerald Wallace,SF,Charlotte Bobcats,1377000
