TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Kedrick Brown,SG,29.0,5.0,8.4,2.2,0.4,1.3,1.7,0.5,0.62,0.24,0.2,0.6,2.1,0.8,2.4,0.32899999999999996,0.2,0.9,0.185,0.4,0.7,0.6,0.6,1.5,0.419,0.9,0.36
BOS,Walter McCarty,PF,56.0,0.0,12.8,3.8,0.6,1.7,2.3,0.7,0.32,0.13,0.4,1.5,1.9,1.4,3.2,0.444,0.7,1.8,0.39399999999999996,0.2,0.3,0.68,0.7,1.4,0.506,1.178,0.55
BOS,Kenny Anderson,PG,76.0,76.0,32.0,9.6,0.8,2.9,3.6,5.3,1.86,0.13,1.6,2.8,3.4,4.1,9.4,0.436,0.1,0.4,0.273,1.3,1.7,0.74,4.0,9.0,0.444,1.021,0.44
BOS,Tony Battie,C,74.0,73.0,24.6,6.9,2.5,4.0,6.5,0.5,0.81,0.91,0.7,3.0,0.7,2.9,5.3,0.541,0.0,0.0,0.0,1.2,1.8,0.68,2.9,5.3,0.544,1.308,0.54
BOS,Vitaly Potapenko,C,79.0,9.0,17.0,4.6,2.1,2.3,4.4,0.4,0.47,0.23,0.8,2.2,0.5,1.7,3.8,0.455,0.0,0.0,0.0,1.1,1.5,0.74,1.7,3.8,0.455,1.206,0.46
BOS,Paul Pierce,SF,82.0,82.0,40.3,26.1,1.0,5.9,6.9,3.2,1.88,1.05,2.9,2.9,1.1,8.6,19.5,0.442,2.6,6.3,0.40399999999999997,6.3,7.8,0.81,6.0,13.2,0.461,1.3419999999999999,0.51
BOS,Joseph Forte,G,8.0,0.0,4.9,0.8,0.1,0.6,0.8,0.8,0.25,0.0,0.4,0.1,2.0,0.1,1.5,0.083,0.0,0.4,0.0,0.5,0.5,1.0,0.1,1.1,0.111,0.5,0.08
BOS,Joe Johnson,SF,48.0,33.0,20.9,6.3,0.8,2.1,2.9,1.5,0.69,0.19,0.6,1.2,2.6,2.7,6.2,0.439,0.5,1.8,0.273,0.4,0.5,0.77,2.2,4.4,0.51,1.0270000000000001,0.48
BOS,Eric Williams,PF,74.0,30.0,23.6,6.4,0.8,2.2,3.0,1.5,1.04,0.11,1.3,2.4,1.1,1.9,5.2,0.374,0.3,1.2,0.27899999999999997,2.2,3.0,0.73,1.6,4.0,0.401,1.226,0.41
BOS,Antoine Walker,PF,81.0,81.0,42.0,22.1,1.9,7.0,8.8,5.0,1.51,0.47,3.1,2.9,1.6,8.2,20.9,0.39399999999999996,2.7,8.0,0.344,3.0,4.0,0.74,5.5,12.9,0.425,1.062,0.46
BOS,Randy Brown,G,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BOS,Erick Strickland,PG,79.0,4.0,20.8,7.7,0.3,2.4,2.7,2.3,0.71,0.01,1.2,1.8,2.0,2.4,6.2,0.389,1.2,3.1,0.385,1.7,2.0,0.85,1.2,3.1,0.39399999999999996,1.242,0.49
