TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Wally Szczerbiak,SG,32,31,36.7,17.5,1.3,2.6,3.8,3.2,0.59,0.13,1.6,1.9,2.0,17.7,6.3,13.2,0.47600000000000003,1.4,3.5,0.39299999999999996,3.6,4.0,0.9,4.9,9.7,0.506,1.329,0.53
BOS,Orien Greene,PG,80,5,15.4,3.2,0.5,1.4,1.8,1.6,0.96,0.13,1.4,2.3,1.2,6.4,1.3,3.2,0.395,0.1,0.5,0.225,0.6,0.9,0.66,1.2,2.7,0.42700000000000005,1.004,0.41
BOS,Ricky Davis,SG,42,42,41.6,19.7,1.0,3.5,4.5,5.3,1.17,0.21,2.7,2.2,1.9,15.6,7.8,16.9,0.46399999999999997,1.0,3.0,0.32,3.1,3.9,0.79,6.8,13.9,0.495,1.166,0.49
BOS,Raef LaFrentz,C,82,63,24.8,7.8,1.0,4.0,5.0,1.4,0.35,0.88,0.8,3.3,1.8,12.0,2.9,6.7,0.431,1.4,3.5,0.392,0.6,0.9,0.68,1.5,3.2,0.474,1.158,0.53
BOS,Kendrick Perkins,C,68,40,19.6,5.2,2.1,3.9,5.9,1.0,0.31,1.54,1.6,2.9,0.6,13.2,2.0,3.9,0.515,0.0,0.0,0.0,1.2,1.9,0.62,2.0,3.9,0.519,1.331,0.52
BOS,Dan Dickau,PG,19,0,12.3,3.3,0.3,0.6,0.8,2.1,0.58,0.05,0.9,2.1,2.2,10.3,0.9,2.4,0.37,0.5,1.1,0.5,0.9,0.9,1.0,0.4,1.3,0.26899999999999996,1.348,0.48
BOS,Tony Allen,SG,51,9,19.2,7.2,0.6,1.5,2.2,1.3,1.0,0.35,1.3,2.5,1.0,12.9,2.5,5.4,0.47100000000000003,0.2,0.7,0.324,2.0,2.6,0.75,2.3,4.7,0.49200000000000005,1.347,0.49
BOS,Brian Scalabrine,PF,71,1,13.2,2.9,0.4,1.2,1.6,0.7,0.3,0.27,0.7,1.8,1.0,5.9,1.0,2.7,0.38299999999999995,0.4,1.2,0.35600000000000004,0.4,0.5,0.72,0.6,1.5,0.406,1.062,0.46
BOS,Paul Pierce,SF,79,79,39.0,26.8,1.0,5.7,6.7,4.7,1.35,0.43,3.5,2.8,1.4,23.7,8.7,18.5,0.47100000000000003,1.4,4.0,0.354,7.9,10.3,0.77,7.3,14.5,0.503,1.4469999999999998,0.51
BOS,Delonte West,SG,71,71,34.1,11.8,0.8,3.3,4.1,4.6,1.18,0.65,1.9,2.8,2.5,15.1,4.7,9.6,0.48700000000000004,1.2,3.1,0.385,1.2,1.4,0.85,3.5,6.5,0.534,1.222,0.55
